report_date,published_date,description,commodity,type,class,volume,unit,year,indexby_year
2009-06-06,,,,,Steer,828.0,,2009,23
2009-06-13,,,,,Steer,832.0,,2009,24
2009-06-20,,,,,Steer,832.0,,2009,25
2009-06-27,,,,,Steer,832.0,,2009,26
2009-07-04,,,,,Steer,840.0,,2009,27
2009-07-11,,,,,Steer,840.0,,2009,28
2009-07-18,,,,,Steer,846.0,,2009,29
2009-07-25,,,,,Steer,847.0,,2009,30
2009-08-01,,,,,Steer,850.0,,2009,31
2009-08-08,,,,,Steer,852.0,,2009,32
2009-08-15,,,,,Steer,857.0,,2009,33
2009-08-22,,,,,Steer,855.0,,2009,34
2009-08-29,,,,,Steer,858.0,,2009,35
2009-09-05,,,,,Steer,861.0,,2009,36
2009-09-12,,,,,Steer,869.0,,2009,37
2009-09-19,,,,,Steer,867.0,,2009,38
2009-09-26,,,,,Steer,867.0,,2009,39
2009-10-03,,,,,Steer,868.0,,2009,40
2009-10-10,,,,,Steer,870.0,,2009,41
2009-10-17,,,,,Steer,868.0,,2009,42
2009-10-24,,,,,Steer,862.0,,2009,43
2009-10-31,,,,,Steer,851.0,,2009,44
2009-11-07,,,,,Steer,847.0,,2009,45
2009-11-14,,,,,Steer,849.0,,2009,46
2009-11-21,,,,,Steer,853.0,,2009,47
2009-11-28,,,,,Steer,852.0,,2009,48
2009-12-05,,,,,Steer,853.0,,2009,49
2009-12-12,,,,,Steer,850.0,,2009,50
2009-12-19,,,,,Steer,843.0,,2009,51
2009-12-26,,,,,Steer,841.0,,2009,52
2010-01-02,,,,,Steer,843.0,,2010,1
2010-01-09,,,,,Steer,841.0,,2010,2
2010-01-16,,,,,Steer,839.0,,2010,3
2010-01-23,,,,,Steer,836.0,,2010,4
2010-01-30,,,,,Steer,836.0,,2010,5
2010-02-06,,,,,Steer,833.0,,2010,6
2010-02-13,,,,,Steer,831.0,,2010,7
2010-02-20,,,,,Steer,831.0,,2010,8
2010-02-27,,,,,Steer,825.0,,2010,9
2010-03-06,,,,,Steer,825.0,,2010,10
2010-03-13,,,,,Steer,823.0,,2010,11
2010-03-20,,,,,Steer,820.0,,2010,12
2010-03-27,,,,,Steer,816.0,,2010,13
2010-04-03,,,,,Steer,813.0,,2010,14
2010-04-10,,,,,Steer,814.0,,2010,15
2010-04-17,,,,,Steer,810.0,,2010,16
2010-04-24,,,,,Steer,807.0,,2010,17
2010-05-01,,,,,Steer,804.0,,2010,18
2010-05-08,,,,,Steer,806.0,,2010,19
2010-05-15,,,,,Steer,807.0,,2010,20
2010-05-22,,,,,Steer,808.0,,2010,21
2010-05-29,,,,,Steer,810.0,,2010,22
2010-06-05,,,,,Steer,817.0,,2010,23
2010-06-12,,,,,Steer,818.0,,2010,24
2010-06-19,,,,,Steer,820.0,,2010,25
2010-06-26,,,,,Steer,824.0,,2010,26
2010-07-03,,,,,Steer,827.0,,2010,27
2010-07-10,,,,,Steer,834.0,,2010,28
2010-07-17,,,,,Steer,832.0,,2010,29
2010-07-24,,,,,Steer,836.0,,2010,30
2010-07-31,,,,,Steer,837.0,,2010,31
2010-08-07,,,,,Steer,844.0,,2010,32
2010-08-14,,,,,Steer,840.0,,2010,33
2010-08-21,,,,,Steer,840.0,,2010,34
2010-08-28,,,,,Steer,842.0,,2010,35
2010-09-04,,,,,Steer,846.0,,2010,36
2010-09-11,,,,,Steer,851.0,,2010,37
2010-09-18,,,,,Steer,853.0,,2010,38
2010-09-25,,,,,Steer,852.0,,2010,39
2010-10-02,,,,,Steer,854.0,,2010,40
2010-10-09,,,,,Steer,859.0,,2010,41
2010-10-16,,,,,Steer,861.0,,2010,42
2010-10-23,,,,,Steer,860.0,,2010,43
2010-10-30,,,,,Steer,856.0,,2010,44
2010-11-06,,,,,Steer,858.0,,2010,45
2010-11-13,,,,,Steer,857.0,,2010,46
2010-11-20,,,,,Steer,851.0,,2010,47
2010-11-27,,,,,Steer,856.0,,2010,48
2010-12-04,,,,,Steer,852.0,,2010,49
2010-12-11,,,,,Steer,855.0,,2010,50
2010-12-18,,,,,Steer,852.0,,2010,51
2010-12-25,,,,,Steer,855.0,,2010,52
2011-01-01,,,,,Steer,856.0,,2011,1
2011-01-08,,,,,Steer,852.0,,2011,2
2011-01-15,,,,,Steer,849.0,,2011,3
2011-01-22,,,,,Steer,850.0,,2011,4
2011-01-29,,,,,Steer,846.0,,2011,5
2011-02-05,,,,,Steer,845.0,,2011,6
2011-02-12,,,,,Steer,835.0,,2011,7
2011-02-19,,,,,Steer,834.0,,2011,8
2011-02-26,,,,,Steer,830.0,,2011,9
2011-03-05,,,,,Steer,829.0,,2011,10
2011-03-12,,,,,Steer,829.0,,2011,11
2011-03-19,,,,,Steer,829.0,,2011,12
2011-03-26,,,,,Steer,827.0,,2011,13
2011-04-02,,,,,Steer,821.0,,2011,14
2011-04-09,,,,,Steer,819.0,,2011,15
2011-04-16,,,,,Steer,818.0,,2011,16
2011-04-23,,,,,Steer,815.0,,2011,17
2011-04-30,,,,,Steer,815.0,,2011,18
2011-05-07,,,,,Steer,816.0,,2011,19
2011-05-14,,,,,Steer,822.0,,2011,20
2011-05-21,,,,,Steer,819.0,,2011,21
2011-05-28,,,,,Steer,820.0,,2011,22
2011-06-04,,,,,Steer,827.0,,2011,23
2011-06-11,,,,,Steer,829.0,,2011,24
2011-06-18,,,,,Steer,832.0,,2011,25
2011-06-25,,,,,Steer,833.0,,2011,26
2011-07-02,,,,,Steer,838.0,,2011,27
2011-07-09,,,,,Steer,845.0,,2011,28
2011-07-16,,,,,Steer,846.0,,2011,29
2011-07-23,,,,,Steer,847.0,,2011,30
2011-07-30,,,,,Steer,845.0,,2011,31
2011-08-06,,,,,Steer,846.0,,2011,32
2011-08-13,,,,,Steer,846.0,,2011,33
2011-08-20,,,,,Steer,849.0,,2011,34
2011-08-27,,,,,Steer,845.0,,2011,35
2011-09-03,,,,,Steer,849.0,,2011,36
2011-09-10,,,,,Steer,855.0,,2011,37
2011-09-17,,,,,Steer,853.0,,2011,38
2011-09-24,,,,,Steer,855.0,,2011,39
2011-10-01,,,,,Steer,855.0,,2011,40
2011-10-08,,,,,Steer,858.0,,2011,41
2011-10-15,,,,,Steer,857.0,,2011,42
2011-10-22,,,,,Steer,862.0,,2011,43
2011-10-29,,,,,Steer,859.0,,2011,44
2011-11-05,,,,,Steer,857.0,,2011,45
2011-11-12,,,,,Steer,852.0,,2011,46
2011-11-19,,,,,Steer,852.0,,2011,47
2011-11-26,,,,,Steer,856.0,,2011,48
2011-12-03,,,,,Steer,855.0,,2011,49
2011-12-10,,,,,Steer,853.0,,2011,50
2011-12-17,,,,,Steer,846.0,,2011,51
2011-12-24,,,,,Steer,849.0,,2011,52
2012-01-07,,,,,Steer,851.0,,2012,1
2012-01-14,,,,,Steer,854.0,,2012,2
2012-01-21,,,,,Steer,854.0,,2012,3
2012-01-28,,,,,Steer,855.0,,2012,4
2012-02-04,,,,,Steer,860.0,,2012,5
2012-02-11,,,,,Steer,855.0,,2012,6
2012-02-18,,,,,Steer,854.0,,2012,7
2012-02-25,,,,,Steer,854.0,,2012,8
2012-03-03,,,,,Steer,850.0,,2012,9
2012-03-10,,,,,Steer,848.0,,2012,10
2012-03-17,,,,,Steer,850.0,,2012,11
2012-03-24,,,,,Steer,844.0,,2012,12
2012-03-31,,,,,Steer,836.0,,2012,13
2012-04-07,,,,,Steer,843.0,,2012,14
2012-04-14,,,,,Steer,837.0,,2012,15
2012-04-21,,,,,Steer,835.0,,2012,16
2012-04-28,,,,,Steer,828.0,,2012,17
2012-05-05,,,,,Steer,832.0,,2012,18
2012-05-12,,,,,Steer,835.0,,2012,19
2012-05-19,,,,,Steer,841.0,,2012,20
2012-05-26,,,,,Steer,839.0,,2012,21
2012-06-02,,,,,Steer,850.0,,2012,22
2012-06-09,,,,,Steer,848.0,,2012,23
2012-06-16,,,,,Steer,852.0,,2012,24
2012-06-23,,,,,Steer,853.0,,2012,25
2012-06-30,,,,,Steer,856.0,,2012,26
2012-07-07,,,,,Steer,859.0,,2012,27
2012-07-14,,,,,Steer,860.0,,2012,28
2012-07-21,,,,,Steer,859.0,,2012,29
2012-07-28,,,,,Steer,862.0,,2012,30
2012-08-04,,,,,Steer,862.0,,2012,31
2012-08-11,,,,,Steer,862.0,,2012,32
2012-08-18,,,,,Steer,865.0,,2012,33
2012-08-25,,,,,Steer,867.0,,2012,34
2012-09-01,,,,,Steer,865.0,,2012,35
2012-09-08,,,,,Steer,870.0,,2012,36
2012-09-15,,,,,Steer,869.0,,2012,37
2012-09-22,,,,,Steer,874.0,,2012,38
2012-09-29,,,,,Steer,873.0,,2012,39
2012-10-06,,,,,Steer,880.0,,2012,40
