date,lbs,year,indexby_year
2010-05-08,507.8,2010,19
2010-05-15,508.5,2010,20
2010-05-22,515.0,2010,21
2010-05-29,508.7,2010,22
2010-06-05,476.9,2010,23
2010-06-12,500.5,2010,24
2010-06-19,509.2,2010,25
2010-06-26,511.1,2010,26
2010-07-03,506.2,2010,27
2010-07-10,464.3,2010,28
2010-07-17,511.4,2010,29
2010-07-24,513.5,2010,30
2010-07-31,503.9,2010,31
2010-08-07,508.7,2010,32
2010-08-14,500.1,2010,33
2010-08-21,519.2,2010,34
2010-08-28,530.0,2010,35
2010-09-04,521.8,2010,36
2010-09-11,454.2,2010,37
2010-09-18,525.9,2010,38
2010-09-25,518.9,2010,39
2010-10-02,513.5,2010,40
2010-10-09,522.5,2010,41
2010-10-16,520.6,2010,42
2010-10-23,524.5,2010,43
2010-10-30,520.6,2010,44
2010-11-06,508.2,2010,45
2010-11-13,514.3,2010,46
2010-11-20,528.7,2010,47
2010-11-27,454.4,2010,48
2010-12-04,529.7,2010,49
2010-12-11,524.2,2010,50
2010-12-18,514.1,2010,51
2010-12-25,426.4,2010,52
2011-01-01,446.6,2011,1
2011-01-08,499.1,2011,2
2011-01-15,491.8,2011,3
2011-01-22,498.8,2011,4
2011-01-29,507.6,2011,5
2011-02-05,487.2,2011,6
2011-02-12,496.7,2011,7
2011-02-19,503.6,2011,8
2011-02-26,503.7,2011,9
2011-03-05,495.3,2011,10
2011-03-12,490.8,2011,11
2011-03-19,476.8,2011,12
2011-03-26,485.0,2011,13
2011-04-02,488.6,2011,14
2011-04-09,477.7,2011,15
2011-04-16,488.4,2011,16
2011-04-23,490.1,2011,17
2011-04-30,468.4,2011,18
2011-05-07,499.0,2011,19
2011-05-14,493.2,2011,20
2011-05-21,500.3,2011,21
2011-05-28,511.7,2011,22
2011-06-04,467.6,2011,23
2011-06-11,520.6,2011,24
2011-06-18,525.8,2011,25
2011-06-25,530.6,2011,26
2011-07-02,515.9,2011,27
2011-07-09,456.0,2011,28
2011-07-16,519.0,2011,29
2011-07-23,505.3,2011,30
2011-07-30,513.2,2011,31
2011-08-06,509.3,2011,32
2011-08-13,513.4,2011,33
2011-08-20,517.5,2011,34
2011-08-27,523.0,2011,35
2011-09-03,511.4,2011,36
2011-09-10,448.0,2011,37
2011-09-17,507.7,2011,38
2011-09-24,509.8,2011,39
2011-10-01,524.9,2011,40
2011-10-08,521.2,2011,41
2011-10-15,506.5,2011,42
2011-10-22,509.7,2011,43
2011-10-29,522.8,2011,44
2011-11-05,503.1,2011,45
2011-11-12,484.7,2011,46
2011-11-19,491.1,2011,47
2011-11-26,438.2,2011,48
2011-12-03,514.5,2011,49
2011-12-10,500.5,2011,50
2011-12-17,496.7,2011,51
2011-12-24,462.8,2011,52
2012-01-07,436.8,2012,1
2012-01-14,502.9,2012,2
2012-01-21,483.4,2012,3
2012-01-28,471.1,2012,4
2012-02-04,465.1,2012,5
2012-02-11,470.7,2012,6
2012-02-18,480.1,2012,7
2012-02-25,463.6,2012,8
2012-03-03,489.9,2012,9
2012-03-10,498.9,2012,10
2012-03-17,488.2,2012,11
2012-03-24,473.6,2012,12
2012-03-31,469.2,2012,13
2012-04-07,485.2,2012,14
2012-04-14,451.4,2012,15
2012-04-21,464.9,2012,16
2012-04-28,475.2,2012,17
2012-05-05,485.1,2012,18
2012-05-12,497.7,2012,19
2012-05-19,502.1,2012,20
2012-05-26,498.8,2012,21
2012-06-02,469.9,2012,22
2012-06-09,516.0,2012,23
2012-06-16,514.8,2012,24
2012-06-23,515.9,2012,25
2012-06-30,517.5,2012,26
2012-07-07,457.6,2012,27
2012-07-14,508.2,2012,28
2012-07-21,514.2,2012,29
2012-07-28,501.1,2012,30
2012-08-04,510.0,2012,31
2012-08-11,507.5,2012,32
2012-08-18,509.3,2012,33
2012-08-25,516.3,2012,34
2012-09-01,506.2,2012,35
2012-09-08,437.9,2012,36
2012-09-15,516.9,2012,37
2012-09-22,499.1,2012,38
2012-09-29,517.0,2012,39
2012-10-06,498.6,2012,40
2012-10-13,504.5,2012,41
2012-10-20,509.8,2012,42
2012-10-27,512.8,2012,43
2012-11-03,511.1,2012,44
2012-11-10,499.6,2012,45
2012-11-17,497.3,2012,46
2012-11-24,463.6,2012,47
2012-12-01,509.3,2012,48
2012-12-08,509.2,2012,49
2012-12-15,511.5,2012,50
2012-12-22,503.9,2012,51
2012-12-29,382.7,2012,52
2013-01-05,417.3,2013,1
2013-01-12,497.0,2013,2
2013-01-19,486.9,2013,3
2013-01-26,500.5,2013,4
2013-02-02,496.1,2013,5
2013-02-09,472.1,2013,6
2013-02-16,476.7,2013,7
2013-02-23,452.6,2013,8
2013-03-02,446.3,2013,9
2013-03-09,474.4,2013,10
2013-03-16,480.9,2013,11
2013-03-23,478.1,2013,12
2013-03-30,470.1,2013,13
2013-04-06,468.3,2013,14
2013-04-13,476.6,2013,15
2013-04-20,479.5,2013,16
2013-04-27,486.8,2013,17
2013-05-04,482.8,2013,18
2013-05-11,489.9,2013,19
2013-05-18,508.9,2013,20
2013-05-25,511.8,2013,21
2013-06-01,468.9,2013,22
2013-06-08,510.0,2013,23
2013-06-15,509.0,2013,24
2013-06-22,523.4,2013,25
2013-06-29,518.7,2013,26
2013-07-06,442.5,2013,27
2013-07-13,507.4,2013,28
2013-07-20,520.2,2013,29
2013-07-27,508.0,2013,30
2013-08-03,494.6,2013,31
2013-08-10,502.9,2013,32
2013-08-17,497.6,2013,33
2013-08-24,506.8,2013,34
2013-08-31,504.2,2013,35
2013-09-07,461.5,2013,36
2013-09-14,487.9,2013,37
2013-09-21,502.9,2013,38
2013-09-28,497.2,2013,39
2013-10-05,512.3,2013,40
2013-10-12,485.7,2013,41
2013-10-19,497.7,2013,42
2013-10-26,496.8,2013,43
2013-11-02,498.5,2013,44
2013-11-09,489.5,2013,45
2013-11-16,481.9,2013,46
2013-11-23,500.1,2013,47
2013-11-30,449.2,2013,48
2013-12-07,504.1,2013,49
2013-12-14,487.3,2013,50
2013-12-21,495.0,2013,51
2013-12-28,344.9,2013,52
2014-01-04,417.9,2014,1
2014-01-11,455.9,2014,2
2014-01-18,476.6,2014,3
2014-01-25,478.6,2014,4
2014-02-01,461.2,2014,5
2014-02-08,452.4,2014,6
2014-02-15,432.3,2014,7
2014-02-22,450.1,2014,8
2014-03-01,453.7,2014,9
2014-03-08,436.2,2014,10
2014-03-15,455.0,2014,11
2014-03-22,458.8,2014,12
2014-03-29,464.3,2014,13
2014-04-05,464.7,2014,14
2014-04-12,455.6,2014,15
2014-04-19,449.6,2014,16
2014-04-26,462.8,2014,17
2014-05-03,480.6,2014,18
2014-05-10,471.6,2014,19
2014-05-17,465.7,2014,20
2014-05-24,471.9,2014,21
2014-05-31,422.4,2014,22
2014-06-07,483.6,2014,23
2014-06-14,477.0,2014,24
2014-06-21,484.5,2014,25
2014-06-28,487.0,2014,26
2014-07-05,390.2,2014,27
2014-07-12,459.0,2014,28
2014-07-19,460.9,2014,29
2014-07-26,457.0,2014,30
2014-08-02,460.2,2014,31
2014-08-09,460.7,2014,32
2014-08-16,465.5,2014,33
2014-08-23,477.0,2014,34
2014-08-30,473.5,2014,35
2014-09-06,420.5,2014,36
2014-09-13,481.1,2014,37
2014-09-20,465.4,2014,38
2014-09-27,467.3,2014,39
2014-10-04,476.4,2014,40
2014-10-11,460.2,2014,41
2014-10-18,463.6,2014,42
2014-10-25,474.2,2014,43
2014-11-01,455.6,2014,44
2014-11-08,465.1,2014,45
2014-11-15,462.2,2014,46
2014-11-22,468.5,2014,47
2014-11-29,409.9,2014,48
2014-12-06,464.3,2014,49
2014-12-13,470.7,2014,50
2014-12-20,455.8,2014,51
2014-12-27,328.0,2014,52
2015-01-03,371.7,2015,1
2015-01-10,442.5,2015,2
2015-01-17,449.5,2015,3
2015-01-24,473.4,2015,4
2015-01-31,460.5,2015,5
2015-02-07,442.5,2015,6
2015-02-14,436.6,2015,7
2015-02-21,424.7,2015,8
2015-02-28,427.0,2015,9
2015-03-07,439.1,2015,10
2015-03-14,428.2,2015,11
2015-03-21,423.5,2015,12
2015-03-28,433.3,2015,13
2015-04-04,427.7,2015,14
2015-04-11,408.3,2015,15
2015-04-18,433.2,2015,16
2015-04-25,442.0,2015,17
2015-05-02,460.0,2015,18
2015-05-09,460.3,2015,19
2015-05-16,461.7,2015,20
2015-05-23,459.3,2015,21
2015-05-30,426.6,2015,22
2015-06-06,446.6,2015,23
