date,lbs,year,indexby_year
2013-05-11,431.6,2013,19
2013-05-18,421.0,2013,20
2013-05-25,425.4,2013,21
2013-06-01,385.8,2013,22
2013-06-08,416.1,2013,23
2013-06-15,401.7,2013,24
2013-06-22,407.6,2013,25
2013-06-29,414.9,2013,26
2013-07-06,366.8,2013,27
2013-07-13,416.8,2013,28
2013-07-20,409.2,2013,29
2013-07-27,404.6,2013,30
2013-08-03,410.7,2013,31
2013-08-10,409.9,2013,32
2013-08-17,441.4,2013,33
2013-08-24,447.6,2013,34
2013-08-31,448.7,2013,35
2013-09-07,400.1,2013,36
2013-09-14,441.2,2013,37
2013-09-21,443.3,2013,38
2013-09-28,446.0,2013,39
2013-10-05,448.225,2013,40
2013-10-12,451.45,2013,41
2013-10-19,471.6,2013,42
2013-10-26,466.7,2013,43
2013-11-02,471.3,2013,44
2013-11-09,477.2,2013,45
2013-11-16,491.3,2013,46
2013-11-23,493.1,2013,47
2013-11-30,435.3,2013,48
2013-12-07,491.2,2013,49
2013-12-14,491.5,2013,50
2013-12-21,499.9,2013,51
2013-12-28,392.2,2013,52
2014-01-04,480.0,2014,1
2014-01-11,480.0,2014,2
2014-01-18,481.0,2014,3
2014-01-25,473.8,2014,4
2014-02-01,455.3,2014,5
2014-02-08,463.2,2014,6
2014-02-15,450.2,2014,7
2014-02-22,454.2,2014,8
2014-03-01,461.4,2014,9
2014-03-08,441.2,2014,10
2014-03-15,431.2,2014,11
2014-03-22,435.6,2014,12
2014-03-29,434.2,2014,13
2014-04-05,434.1,2014,14
2014-04-12,432.6,2014,15
2014-04-19,430.7,2014,16
2014-04-26,429.9,2014,17
2014-05-03,435.3,2014,18
2014-05-10,435.8,2014,19
2014-05-17,433.0,2014,20
2014-05-24,427.0,2014,21
2014-05-31,378.2,2014,22
2014-06-07,416.2,2014,23
2014-06-14,413.2,2014,24
2014-06-21,409.3,2014,25
2014-06-28,411.5,2014,26
2014-07-05,349.6,2014,27
2014-07-12,398.3,2014,28
2014-07-19,391.5,2014,29
2014-07-26,397.0,2014,30
2014-08-02,397.9,2014,31
2014-08-09,408.9,2014,32
2014-08-16,429.7,2014,33
2014-08-23,424.0,2014,34
2014-08-30,421.3,2014,35
2014-09-06,378.3,2014,36
2014-09-13,434.9,2014,37
2014-09-20,434.1,2014,38
2014-09-27,443.7,2014,39
2014-10-04,443.4,2014,40
2014-10-11,453.6,2014,41
2014-10-18,465.0,2014,42
2014-10-25,455.9,2014,43
2014-11-01,467.8,2014,44
2014-11-08,476.8,2014,45
2014-11-15,475.4,2014,46
2014-11-22,478.8,2014,47
2014-11-29,427.7,2014,48
2014-12-06,480.2,2014,49
2014-12-13,484.2,2014,50
2014-12-20,494.0,2014,51
2014-12-27,373.9,2014,52
2015-01-03,429.5,2015,1
2015-01-10,464.3,2015,2
