report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2005-03-19,,,,,,,59800.0,,2005,12
2005-03-26,,,,,,,58400.0,,2005,13
2005-04-02,,,,,,,59800.0,,2005,14
2005-04-09,,,,,,,53700.0,,2005,15
2005-04-16,,,,,,,61900.0,,2005,16
2005-04-23,,,,,,,61100.0,,2005,17
2005-04-30,,,,,,,60400.0,,2005,18
2005-05-07,,,,,,,60200.0,,2005,19
2005-05-14,,,,,,,60700.0,,2005,20
2005-05-21,,,,,,,60100.0,,2005,21
2005-05-28,,,,,,,59300.0,,2005,22
2005-06-04,,,,,,,54100.0,,2005,23
2005-06-11,,,,,,,60800.0,,2005,24
2005-06-18,,,,,,,59400.0,,2005,25
2005-06-25,,,,,,,60200.0,,2005,26
2005-07-02,,,,,,,57400.0,,2005,27
2005-07-09,,,,,,,48900.0,,2005,28
2005-07-16,,,,,,,60300.0,,2005,29
2005-07-23,,,,,,,59000.0,,2005,30
2005-07-30,,,,,,,58400.0,,2005,31
2005-08-06,,,,,,,56200.0,,2005,32
2005-08-13,,,,,,,58600.0,,2005,33
2005-08-20,,,,,,,58600.0,,2005,34
2005-08-27,,,,,,,61600.0,,2005,35
2005-09-03,,,,,,,62400.0,,2005,36
2005-09-10,,,,,,,53500.0,,2005,37
2005-09-17,,,,,,,63500.0,,2005,38
2005-09-24,,,,,,,63300.0,,2005,39
2005-10-01,,,,,,,62400.0,,2005,40
2005-10-08,,,,,,,62900.0,,2005,41
2005-10-15,,,,,,,62400.0,,2005,42
2005-10-22,,,,,,,61300.0,,2005,43
2005-10-29,,,,,,,64900.0,,2005,44
2005-11-05,,,,,,,61400.0,,2005,45
2005-11-12,,,,,,,66000.0,,2005,46
2005-11-19,,,,,,,66100.0,,2005,47
2005-11-26,,,,,,,44800.0,,2005,48
2005-12-03,,,,,,,68000.0,,2005,49
2005-12-10,,,,,,,65600.0,,2005,50
2005-12-17,,,,,,,64800.0,,2005,51
2005-12-24,,,,,,,58300.0,,2005,52
2005-12-31,,,,,,,,,2005,53
2006-01-07,,,,,,,54700.0,,2006,1
2006-01-14,,,,,,,61900.0,,2006,2
2006-01-21,,,,,,,58500.0,,2006,3
2006-01-28,,,,,,,59700.0,,2006,4
2006-02-04,,,,,,,57700.0,,2006,5
2006-02-11,,,,,,,58000.0,,2006,6
2006-02-18,,,,,,,59000.0,,2006,7
2006-02-25,,,,,,,59800.0,,2006,8
2006-03-04,,,,,,,62200.0,,2006,9
2006-03-11,,,,,,,62400.0,,2006,10
2006-03-18,,,,,,,61800.0,,2006,11
2006-03-25,,,,,,,61500.0,,2006,12
2006-04-01,,,,,,,64100.0,,2006,13
2006-04-08,,,,,,,62000.0,,2006,14
2006-04-15,,,,,,,60800.0,,2006,15
2006-04-22,,,,,,,60300.0,,2006,16
2006-04-29,,,,,,,62600.0,,2006,17
2006-05-06,,,,,,,63300.0,,2006,18
2006-05-13,,,,,,,65500.0,,2006,19
2006-05-20,,,,,,,64100.0,,2006,20
2006-05-27,,,,,,,61000.0,,2006,21
2006-06-03,,,,,,,56600.0,,2006,22
2006-06-10,,,,,,,64500.0,,2006,23
2006-06-17,,,,,,,63900.0,,2006,24
2006-06-24,,,,,,,63600.0,,2006,25
