report_date,for_date_begin,purchase_type,head_count,avg_net_price,avg_carcass_weight,year,indexby_year
2001-09-20,2001-09-19,Prod. Sold (All Purchase Types),282242,62.94,194.66,2001,33
2001-09-21,2001-09-20,Prod. Sold (All Purchase Types),272827,62.58,195.26,2001,34
2001-09-21,2001-09-20,Packer Owned,54013,,201.83,2001,34
2001-09-24,2001-09-21,Prod. Sold (All Purchase Types),344090,62.47,195.54,2001,35
2001-09-24,2001-09-21,Packer Owned,65692,,199.07,2001,35
2001-09-25,2001-09-24,Prod. Sold (All Purchase Types),272680,62.56,195.96,2001,36
2001-09-25,2001-09-24,Packer Owned,55362,,199.67,2001,36
2001-09-26,2001-09-25,Prod. Sold (All Purchase Types),292735,61.62,195.44,2001,37
2001-09-26,2001-09-25,Packer Owned,55015,,200.24,2001,37
2001-09-27,2001-09-26,Prod. Sold (All Purchase Types),286009,61.01,195.36,2001,38
2001-09-27,2001-09-26,Packer Owned,55646,,200.11,2001,38
2001-09-28,2001-09-27,Prod. Sold (All Purchase Types),285449,60.72,195.48,2001,39
2001-09-28,2001-09-27,Packer Owned,55970,,198.1,2001,39
2001-10-01,2001-09-28,Packer Owned,99100,,202.06,2001,40
2001-10-01,2001-09-28,Prod. Sold (All Purchase Types),407597,60.56,197.54,2001,40
2001-10-02,2001-10-01,Packer Owned,55158,,200.65,2001,41
2001-10-02,2001-10-01,Prod. Sold (All Purchase Types),286578,61.16,196.95,2001,41
2001-10-03,2001-10-02,Packer Owned,55203,,199.05,2001,42
2001-10-03,2001-10-02,Prod. Sold (All Purchase Types),280814,61.28,196.58,2001,42
2001-10-04,2001-10-03,Packer Owned,52748,,201.16,2001,43
2001-10-04,2001-10-03,Prod. Sold (All Purchase Types),277431,61.37,196.98,2001,43
2001-10-05,2001-10-04,Prod. Sold (All Purchase Types),275183,61.02,197.32,2001,44
2001-10-05,2001-10-04,Packer Owned,53993,,203.57,2001,44
2001-10-08,2001-10-05,Prod. Sold (All Purchase Types),356087,60.45,197.93,2001,45
2001-10-08,2001-10-05,Packer Owned,65985,,202.99,2001,45
2001-10-09,2001-10-08,Prod. Sold (All Purchase Types),277085,60.09,197.14,2001,46
2001-10-09,2001-10-08,Packer Owned,44099,,195.45,2001,46
2001-10-10,2001-10-09,Prod. Sold (All Purchase Types),275393,59.48,196.08,2001,47
2001-10-10,2001-10-09,Packer Owned,54692,,200.35,2001,47
2001-10-11,2001-10-10,Prod. Sold (All Purchase Types),250504,58.44,196.91,2001,48
2001-10-11,2001-10-10,Packer Owned,53552,,204.09,2001,48
2001-10-12,2001-10-11,Prod. Sold (All Purchase Types),252531,57.4,196.86,2001,49
2001-10-12,2001-10-11,Packer Owned,55246,,200.98,2001,49
2001-10-15,2001-10-12,Prod. Sold (All Purchase Types),381069,56.34,198.04,2001,50
2001-10-15,2001-10-12,Packer Owned,79716,,206.86,2001,50
2001-10-16,2001-10-15,Prod. Sold (All Purchase Types),267060,56.49,197.51,2001,51
2001-10-16,2001-10-15,Packer Owned,58738,,201.36,2001,51
2001-10-17,2001-10-16,Packer Owned,55610,,200.48,2001,52
2001-10-17,2001-10-16,Prod. Sold (All Purchase Types),284666,54.5,197.73,2001,52
2001-10-18,2001-10-17,Packer Owned,55891,,202.15,2001,53
2001-10-18,2001-10-17,Prod. Sold (All Purchase Types),285711,53.87,197.77,2001,53
2001-10-19,2001-10-18,Packer Owned,57214,,203.82,2001,54
2001-10-19,2001-10-18,Prod. Sold (All Purchase Types),267034,53.47,198.44,2001,54
2001-10-22,2001-10-19,Packer Owned,106790,,203.56,2001,55
2001-10-22,2001-10-19,Prod. Sold (All Purchase Types),409481,52.55,199.2,2001,55
2001-10-23,2001-10-22,Packer Owned,57619,,200.5,2001,56
2001-10-23,2001-10-22,Prod. Sold (All Purchase Types),262300,53.3,198.88,2001,56
2001-10-24,2001-10-23,Prod. Sold (All Purchase Types),278106,52.27,198.08,2001,57
2001-10-24,2001-10-23,Packer Owned,57554,,198.34,2001,57
2001-10-25,2001-10-24,Prod. Sold (All Purchase Types),280385,51.99,198.54,2001,58
2001-10-25,2001-10-24,Packer Owned,57257,,202.47,2001,58
2001-10-26,2001-10-25,Prod. Sold (All Purchase Types),287803,51.78,198.84,2001,59
2001-10-26,2001-10-25,Packer Owned,56800,,202.05,2001,59
2001-10-29,2001-10-26,Prod. Sold (All Purchase Types),390345,50.41,199.6,2001,60
2001-10-29,2001-10-26,Packer Owned,80737,,202.7,2001,60
2001-10-30,2001-10-29,Packer Owned,60415,,198.2,2001,61
2001-10-30,2001-10-29,Prod. Sold (All Purchase Types),258350,51.55,199.42,2001,61
2001-10-31,2001-10-30,Packer Owned,56794,,201.98,2001,62
2001-10-31,2001-10-30,Prod. Sold (All Purchase Types),273055,51.02,199.39,2001,62
2001-11-01,2001-10-31,Prod. Sold (All Purchase Types),264829,51.13,199.35,2001,63
2001-11-01,2001-10-31,Packer Owned,56096,,202.05,2001,63
2001-11-02,2001-11-01,Prod. Sold (All Purchase Types),289397,51.68,199.74,2001,64
2001-11-02,2001-11-01,Packer Owned,55186,,205.77,2001,64
2001-11-05,2001-11-02,Packer Owned,78973,,205.14,2001,65
2001-11-05,2001-11-02,Prod. Sold (All Purchase Types),409863,51.72,200.65,2001,65
2001-11-06,2001-11-05,Prod. Sold (All Purchase Types),253796,52.56,199.95,2001,66
2001-11-06,2001-11-05,Packer Owned,56764,,199.56,2001,66
2001-11-07,2001-11-06,Packer Owned,54284,,201.99,2001,67
2001-11-07,2001-11-06,Prod. Sold (All Purchase Types),277222,52.05,199.1,2001,67
2001-11-08,2001-11-07,Packer Owned,53259,,200.87,2001,68
2001-11-08,2001-11-07,Prod. Sold (All Purchase Types),275519,51.53,199.47,2001,68
2001-11-09,2001-11-08,Packer Owned,56558,,200.94,2001,69
2001-11-09,2001-11-08,Prod. Sold (All Purchase Types),278114,52.95,199.63,2001,69
2001-11-12,2001-11-09,Prod. Sold (All Purchase Types),382617,49.5,200.32,2001,70
2001-11-12,2001-11-09,Packer Owned,65378,,201.25,2001,70
2001-11-13,2001-11-12,Packer Owned,57043,,198.42,2001,71
2001-11-13,2001-11-12,Prod. Sold (All Purchase Types),219638,49.98,200.16,2001,71
2001-11-14,2001-11-13,Prod. Sold (All Purchase Types),276594,49.17,198.87,2001,72
2001-11-14,2001-11-13,Packer Owned,59346,,200.26,2001,72
2001-11-15,2001-11-14,Prod. Sold (All Purchase Types),277767,48.81,199.18,2001,73
2001-11-15,2001-11-14,Packer Owned,58512,,202.09,2001,73
2001-11-16,2001-11-15,Packer Owned,55975,,200.13,2001,74
2001-11-16,2001-11-15,Prod. Sold (All Purchase Types),265618,49.03,199.33,2001,74
2001-11-19,2001-11-16,Packer Owned,100113,,201.47,2001,75
2001-11-19,2001-11-16,Prod. Sold (All Purchase Types),436487,48.38,200.38,2001,75
2001-11-20,2001-11-19,Packer Owned,47620,,198.13,2001,76
2001-11-20,2001-11-19,Prod. Sold (All Purchase Types),246210,47.69,200.2,2001,76
2001-11-21,2001-11-20,Packer Owned,55916,,200.54,2001,77
2001-11-21,2001-11-20,Prod. Sold (All Purchase Types),266962,48.12,199.18,2001,77
2001-11-23,2001-11-21,Prod. Sold (All Purchase Types),270290,48.98,199.58,2001,78
2001-11-23,2001-11-21,Packer Owned,55830,,200.48,2001,78
2001-11-26,2001-11-23,Packer Owned,110340,,201.54,2001,79
2001-11-26,2001-11-23,Prod. Sold (All Purchase Types),481435,48.16,201.49,2001,79
2001-11-27,2001-11-26,Prod. Sold (All Purchase Types),243948,48.32,200.88,2001,80
2001-11-27,2001-11-26,Packer Owned,62132,,198.45,2001,80
2001-11-28,2001-11-27,Prod. Sold (All Purchase Types),276764,48.93,199.55,2001,81
2001-11-28,2001-11-27,Packer Owned,58043,,197.47,2001,81
2001-11-29,2001-11-28,Packer Owned,58556,,197.87,2001,82
2001-11-29,2001-11-28,Prod. Sold (All Purchase Types),277252,49.26,199.87,2001,82
2001-11-30,2001-11-29,Packer Owned,57828,,202.45,2001,83
2001-11-30,2001-11-29,Prod. Sold (All Purchase Types),279999,49.25,200.37,2001,83
2001-12-03,2001-11-30,Packer Owned,88459,,201.88,2001,84
2001-12-03,2001-11-30,Prod. Sold (All Purchase Types),415452,49.38,200.91,2001,84
2001-12-04,2001-12-03,Packer Owned,57909,,196.81,2001,85
2001-12-04,2001-12-03,Prod. Sold (All Purchase Types),263409,49.1,200.81,2001,85
2001-12-05,2001-12-04,Packer Owned,56692,,198.27,2001,86
2001-12-05,2001-12-04,Prod. Sold (All Purchase Types),271477,49.34,200.37,2001,86
2001-12-06,2001-12-05,Packer Owned,58464,,198.18,2001,87
2001-12-06,2001-12-05,Prod. Sold (All Purchase Types),275377,49.16,200.74,2001,87
2001-12-07,2001-12-06,Packer Owned,57302,,199.27,2001,88
2001-12-07,2001-12-06,Prod. Sold (All Purchase Types),257394,48.52,200.37,2001,88
2001-12-10,2001-12-07,Prod. Sold (All Purchase Types),420840,48.4,201.6,2001,89
2001-12-10,2001-12-07,Packer Owned,74503,,202.47,2001,89
2001-12-11,2001-12-10,Prod. Sold (All Purchase Types),247399,48.48,200.8,2001,90
2001-12-11,2001-12-10,Packer Owned,62802,,,2001,90
2001-12-12,2001-12-11,Prod. Sold (All Purchase Types),271298,48.3,199.27,2001,91
2001-12-12,2001-12-11,Packer Owned,59479,,199.23,2001,91
2001-12-13,2001-12-12,Prod. Sold (All Purchase Types),274559,47.51,199.13,2001,92
2001-12-13,2001-12-12,Packer Owned,59428,,197.11,2001,92
2001-12-14,2001-12-13,Prod. Sold (All Purchase Types),275332,47.29,199.98,2001,93
2001-12-14,2001-12-13,Packer Owned,53527,,200.05,2001,93
2001-12-17,2001-12-14,Prod. Sold (All Purchase Types),404834,47.2,200.43,2001,94
2001-12-17,2001-12-14,Packer Owned,79217,,199.23,2001,94
2001-12-18,2001-12-17,Prod. Sold (All Purchase Types),246387,47.81,198.43,2001,95
2001-12-18,2001-12-17,Packer Owned,60751,,197.02,2001,95
2001-12-19,2001-12-18,Prod. Sold (All Purchase Types),278431,48.59,198.1,2001,96
2001-12-19,2001-12-18,Packer Owned,55424,,197.25,2001,96
2001-12-20,2001-12-19,Prod. Sold (All Purchase Types),301890,49.14,198.39,2001,97
2001-12-20,2001-12-19,Packer Owned,59008,,197.09,2001,97
2001-12-21,2001-12-20,Prod. Sold (All Purchase Types),284198,49.24,198.22,2001,98
2001-12-21,2001-12-20,Packer Owned,59819,,198.72,2001,98
2001-12-26,2001-12-21,Packer Owned,92687,,193.15,2001,99
2001-12-26,2001-12-21,Prod. Sold (All Purchase Types),395265,49.31,198.5,2001,99
2001-12-27,2001-12-26,Packer Owned,56754,,197.33,2001,100
2001-12-27,2001-12-26,Prod. Sold (All Purchase Types),196172,49.08,199.42,2001,100
2001-12-28,2001-12-27,Packer Owned,57099,,197.24,2001,101
2001-12-28,2001-12-27,Prod. Sold (All Purchase Types),267427,50.22,199.11,2001,101
2001-12-31,2001-12-28,Packer Owned,93404,,199.87,2001,102
2001-12-31,2001-12-28,Prod. Sold (All Purchase Types),474188,50.59,200.6,2001,102
2002-01-02,2001-12-31,Packer Owned,49786,,196.27,2002,1
2002-01-02,2001-12-31,Prod. Sold (All Purchase Types),176066,52.16,198.72,2002,1
2002-01-03,2002-01-02,Packer Owned,49170,,198.65,2002,2
2002-01-03,2002-01-02,Prod. Sold (All Purchase Types),248093,52.3,199.24,2002,2
2002-01-04,2002-01-03,Packer Owned,22651,,205.56,2002,3
2002-01-04,2002-01-03,Prod. Sold (All Purchase Types),250752,53.05,200.37,2002,3
2002-01-07,2002-01-04,Packer Owned,74668,,199.82,2002,4
2002-01-07,2002-01-04,Prod. Sold (All Purchase Types),449428,53.19,200.28,2002,4
2002-01-08,2002-01-07,Packer Owned,54746,,197.64,2002,5
2002-01-08,2002-01-07,Prod. Sold (All Purchase Types),248988,53.16,199.17,2002,5
2002-01-09,2002-01-08,Packer Owned,53078,,199.22,2002,6
2002-01-09,2002-01-08,Prod. Sold (All Purchase Types),271564,53.07,199.63,2002,6
2002-01-10,2002-01-09,Packer Owned,61270,,198.96,2002,7
2002-01-10,2002-01-09,Prod. Sold (All Purchase Types),277311,53.0,199.0,2002,7
2002-01-11,2002-01-10,Packer Owned,58770,,197.71,2002,8
2002-01-11,2002-01-10,Prod. Sold (All Purchase Types),277551,52.64,200.0,2002,8
2002-01-14,2002-01-11,Prod. Sold (All Purchase Types),348424,52.57,199.93,2002,9
2002-01-14,2002-01-11,Packer Owned,69403,,201.94,2002,9
2002-01-15,2002-01-14,Prod. Sold (All Purchase Types),241229,52.63,200.54,2002,10
2002-01-15,2002-01-14,Packer Owned,49447,,196.3,2002,10
2002-01-16,2002-01-15,Prod. Sold (All Purchase Types),280106,52.84,199.28,2002,11
2002-01-16,2002-01-15,Packer Owned,54388,,198.81,2002,11
2002-01-17,2002-01-16,Prod. Sold (All Purchase Types),270793,53.43,200.17,2002,12
2002-01-17,2002-01-16,Packer Owned,58501,,195.09,2002,12
2002-01-18,2002-01-17,Prod. Sold (All Purchase Types),280043,53.58,199.74,2002,13
2002-01-18,2002-01-17,Packer Owned,57154,,199.53,2002,13
2002-01-21,2002-01-18,Packer Owned,68215,,203.7,2002,14
2002-01-21,2002-01-18,Prod. Sold (All Purchase Types),349567,54.51,200.4,2002,14
2002-01-22,2002-01-21,Prod. Sold (All Purchase Types),239407,55.18,198.93,2002,15
2002-01-22,2002-01-21,Packer Owned,45600,,196.45,2002,15
2002-01-23,2002-01-22,Packer Owned,56428,,198.96,2002,16
2002-01-23,2002-01-22,Prod. Sold (All Purchase Types),259588,55.91,199.0,2002,16
2002-01-24,2002-01-23,Packer Owned,55457,,197.85,2002,17
2002-01-24,2002-01-23,Prod. Sold (All Purchase Types),276641,56.03,199.41,2002,17
2002-01-25,2002-01-24,Packer Owned,56568,,198.02,2002,18
2002-01-25,2002-01-24,Prod. Sold (All Purchase Types),273707,56.34,199.17,2002,18
2002-01-28,2002-01-25,Prod. Sold (All Purchase Types),295414,56.33,200.07,2002,19
2002-01-28,2002-01-25,Packer Owned,76751,,200.9,2002,19
2002-01-29,2002-01-28,Packer Owned,54425,,198.91,2002,20
2002-01-29,2002-01-28,Prod. Sold (All Purchase Types),260364,56.7,199.23,2002,20
2002-01-30,2002-01-29,Prod. Sold (All Purchase Types),254218,56.84,198.89,2002,21
2002-01-30,2002-01-29,Packer Owned,55025,,198.93,2002,21
2002-01-31,2002-01-30,Prod. Sold (All Purchase Types),273550,56.87,198.48,2002,22
2002-01-31,2002-01-30,Packer Owned,55554,,198.83,2002,22
2002-02-01,2002-01-31,Prod. Sold (All Purchase Types),268238,56.91,198.86,2002,23
2002-02-01,2002-01-31,Packer Owned,54633,,200.56,2002,23
2002-02-04,2002-02-01,Prod. Sold (All Purchase Types),270313,57.11,199.92,2002,24
2002-02-04,2002-02-01,Packer Owned,52746,,197.31,2002,24
2002-02-05,2002-02-04,Prod. Sold (All Purchase Types),256693,57.21,199.56,2002,25
2002-02-05,2002-02-04,Packer Owned,55824,,197.37,2002,25
2002-02-06,2002-02-05,Packer Owned,53725,,199.43,2002,26
2002-02-06,2002-02-05,Prod. Sold (All Purchase Types),272514,57.06,198.93,2002,26
2002-02-07,2002-02-06,Packer Owned,53441,,197.26,2002,27
2002-02-07,2002-02-06,Prod. Sold (All Purchase Types),264265,56.89,199.31,2002,27
2002-02-08,2002-02-07,Packer Owned,57241,,199.81,2002,28
2002-02-08,2002-02-07,Prod. Sold (All Purchase Types),272560,56.46,199.93,2002,28
2002-02-11,2002-02-08,Prod. Sold (All Purchase Types),278528,56.55,198.77,2002,29
2002-02-11,2002-02-08,Packer Owned,53311,,196.59,2002,29
2002-02-12,2002-02-11,Prod. Sold (All Purchase Types),254927,56.28,199.09,2002,30
2002-02-12,2002-02-11,Packer Owned,53904,,195.49,2002,30
2002-02-13,2002-02-12,Prod. Sold (All Purchase Types),268590,55.74,198.77,2002,31
2002-02-13,2002-02-12,Packer Owned,58822,,199.45,2002,31
2002-02-14,2002-02-13,Prod. Sold (All Purchase Types),285295,55.34,198.13,2002,32
2002-02-14,2002-02-13,Packer Owned,56940,,199.31,2002,32
2002-02-15,2002-02-14,Packer Owned,55910,,199.99,2002,33
2002-02-15,2002-02-14,Prod. Sold (All Purchase Types),270753,55.14,198.17,2002,33
2002-02-18,2002-02-15,Prod. Sold (All Purchase Types),272242,55.24,198.64,2002,34
2002-02-18,2002-02-15,Packer Owned,59923,,197.13,2002,34
2002-02-19,2002-02-18,Packer Owned,60404,,196.69,2002,35
2002-02-19,2002-02-18,Prod. Sold (All Purchase Types),263039,55.17,198.92,2002,35
2002-02-20,2002-02-19,Prod. Sold (All Purchase Types),268214,55.12,199.03,2002,36
2002-02-20,2002-02-19,Packer Owned,38044,,200.22,2002,36
2002-02-21,2002-02-20,Packer Owned,56911,,198.77,2002,37
2002-02-21,2002-02-20,Prod. Sold (All Purchase Types),272678,55.19,198.57,2002,37
2002-02-22,2002-02-21,Packer Owned,55409,,201.18,2002,38
2002-02-22,2002-02-21,Prod. Sold (All Purchase Types),284362,55.17,198.84,2002,38
2002-02-25,2002-02-22,Packer Owned,54780,,201.04,2002,39
2002-02-25,2002-02-22,Prod. Sold (All Purchase Types),286411,55.25,199.09,2002,39
2002-02-26,2002-02-25,Packer Owned,50518,,196.49,2002,40
2002-02-26,2002-02-25,Prod. Sold (All Purchase Types),272433,55.26,199.58,2002,40
2002-02-27,2002-02-26,Packer Owned,53839,,197.02,2002,41
2002-02-27,2002-02-26,Prod. Sold (All Purchase Types),265479,55.31,198.27,2002,41
2002-02-28,2002-02-27,Prod. Sold (All Purchase Types),286270,54.94,198.34,2002,42
2002-02-28,2002-02-27,Packer Owned,56451,,200.1,2002,42
2002-03-01,2002-02-28,Packer Owned,57873,,201.12,2002,43
2002-03-01,2002-02-28,Prod. Sold (All Purchase Types),276729,54.93,199.1,2002,43
2002-03-04,2002-03-01,Packer Owned,55534,,200.78,2002,44
2002-03-04,2002-03-01,Prod. Sold (All Purchase Types),285693,54.91,198.85,2002,44
2002-03-05,2002-03-04,Prod. Sold (All Purchase Types),264998,55.15,199.13,2002,45
2002-03-05,2002-03-04,Packer Owned,55083,,198.88,2002,45
2002-03-06,2002-03-05,Packer Owned,50762,,199.76,2002,46
2002-03-06,2002-03-05,Prod. Sold (All Purchase Types),278863,55.23,198.64,2002,46
2002-03-07,2002-03-06,Packer Owned,50657,,198.92,2002,47
2002-03-07,2002-03-06,Prod. Sold (All Purchase Types),273060,55.07,198.44,2002,47
2002-03-08,2002-03-07,Prod. Sold (All Purchase Types),274357,54.66,198.42,2002,48
2002-03-08,2002-03-07,Packer Owned,51112,,199.67,2002,48
2002-03-11,2002-03-08,Prod. Sold (All Purchase Types),277216,54.4,198.79,2002,49
2002-03-11,2002-03-08,Packer Owned,81486,,201.62,2002,49
2002-03-12,2002-03-11,Packer Owned,49317,,196.68,2002,50
2002-03-12,2002-03-11,Prod. Sold (All Purchase Types),269628,54.27,198.63,2002,50
2002-03-13,2002-03-12,Packer Owned,58773,,200.53,2002,51
2002-03-13,2002-03-12,Prod. Sold (All Purchase Types),282458,53.71,198.36,2002,51
2002-03-14,2002-03-13,Prod. Sold (All Purchase Types),273235,53.09,199.51,2002,52
2002-03-14,2002-03-13,Packer Owned,54857,,200.39,2002,52
2002-03-15,2002-03-14,Prod. Sold (All Purchase Types),278407,52.58,199.15,2002,53
2002-03-15,2002-03-14,Packer Owned,55013,,200.83,2002,53
2002-03-18,2002-03-15,Packer Owned,79532,,201.28,2002,54
2002-03-18,2002-03-15,Prod. Sold (All Purchase Types),291991,52.32,198.82,2002,54
2002-03-19,2002-03-18,Packer Owned,56217,,199.64,2002,55
2002-03-19,2002-03-18,Prod. Sold (All Purchase Types),278233,52.02,198.75,2002,55
2002-03-20,2002-03-19,Packer Owned,53090,,199.58,2002,56
2002-03-20,2002-03-19,Prod. Sold (All Purchase Types),291153,51.71,198.79,2002,56
2002-03-21,2002-03-20,Packer Owned,57494,,199.42,2002,57
2002-03-21,2002-03-20,Prod. Sold (All Purchase Types),289462,51.38,198.65,2002,57
2002-03-22,2002-03-21,Packer Owned,58784,,201.02,2002,58
2002-03-22,2002-03-21,Prod. Sold (All Purchase Types),280622,51.05,199.18,2002,58
2002-03-25,2002-03-22,Packer Owned,64766,,204.08,2002,59
2002-03-25,2002-03-22,Prod. Sold (All Purchase Types),295981,50.7,199.42,2002,59
2002-03-26,2002-03-25,Packer Owned,57582,,200.53,2002,60
2002-03-26,2002-03-25,Prod. Sold (All Purchase Types),278876,50.55,199.46,2002,60
2002-03-27,2002-03-26,Prod. Sold (All Purchase Types),275468,50.52,198.74,2002,61
2002-03-27,2002-03-26,Packer Owned,54651,,200.14,2002,61
2002-03-28,2002-03-27,Prod. Sold (All Purchase Types),284527,50.61,199.22,2002,62
2002-03-28,2002-03-27,Packer Owned,57633,,201.49,2002,62
2002-03-29,2002-03-28,Prod. Sold (All Purchase Types),281137,50.74,199.82,2002,63
2002-03-29,2002-03-28,Packer Owned,56407,,199.46,2002,63
2002-04-01,2002-03-29,Prod. Sold (All Purchase Types),263011,50.67,198.96,2002,64
2002-04-01,2002-03-29,Packer Owned,45173,,202.6,2002,64
2002-04-02,2002-04-01,Packer Owned,58476,,200.33,2002,65
2002-04-02,2002-04-01,Prod. Sold (All Purchase Types),207652,50.76,199.69,2002,65
2002-04-03,2002-04-02,Prod. Sold (All Purchase Types),265234,50.65,199.16,2002,66
2002-04-03,2002-04-02,Packer Owned,57671,,201.64,2002,66
2002-04-04,2002-04-03,Prod. Sold (All Purchase Types),284935,50.67,199.8,2002,67
2002-04-04,2002-04-03,Packer Owned,58589,,202.46,2002,67
2002-04-05,2002-04-04,Prod. Sold (All Purchase Types),279604,50.35,198.92,2002,68
2002-04-05,2002-04-04,Packer Owned,59034,,202.83,2002,68
2002-04-08,2002-04-05,Packer Owned,88667,,202.61,2002,69
2002-04-08,2002-04-05,Prod. Sold (All Purchase Types),338413,50.02,199.8,2002,69
2002-04-09,2002-04-08,Prod. Sold (All Purchase Types),264275,49.07,199.5,2002,70
2002-04-09,2002-04-08,Packer Owned,59979,,201.9,2002,70
2002-04-10,2002-04-09,Prod. Sold (All Purchase Types),281593,48.69,199.47,2002,71
2002-04-10,2002-04-09,Packer Owned,58647,,201.83,2002,71
2002-04-11,2002-04-10,Packer Owned,58563,,201.77,2002,72
