report_date,reported_for_date,weight_range,purchase_type,head_count,price_low,price_high,wtd_avg,avg_weight,total_head,week_of_year,year,indexby_year
2020-12-07,2020-12-04,400-449,Swine/Pork Market Formula Sows,412.0,40.68,47.4,41.76,426.0,2518.0,495,2020,1
2020-12-07,2020-12-04,450-499,Swine/Pork Market Formula Sows,583.0,43.78,49.25,46.81,476.0,2518.0,495,2020,1
2020-12-07,2020-12-04,450-499,Negotiated Sows,1987.0,29.0,52.0,44.98,473.0,8028.0,495,2020,1
2020-12-07,2020-12-04,400-449,Negotiated Sows,1626.0,29.0,52.0,39.84,424.0,8028.0,495,2020,1
2020-12-07,2020-12-04,500-549,Swine/Pork Market Formula Sows,631.0,46.52,51.25,48.73,521.0,2518.0,495,2020,1
2020-12-07,2020-12-04,500-549,Combined Negotiated/Negotiated Formula Sows,1753.0,39.95,54.0,48.16,522.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Combined Negotiated/Negotiated Formula Sows,1881.0,29.0,51.0,40.66,374.0,8028.0,495,2020,1
2020-12-07,2020-12-04,450-499,Combined Negotiated/Negotiated Formula Sows,1987.0,29.0,52.0,44.98,473.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Negotiated Sows,1881.0,29.0,51.0,40.66,374.0,8028.0,495,2020,1
2020-12-07,2020-12-04,550/up,Combined Negotiated/Negotiated Formula Sows,781.0,44.5,54.0,49.19,583.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Swine/Pork Market Formula Sows,400.0,35.32,44.97,42.15,369.0,2518.0,495,2020,1
2020-12-07,2020-12-04,550/up,Negotiated Sows,781.0,44.5,54.0,49.19,583.0,8028.0,495,2020,1
2020-12-07,2020-12-04,400-449,Combined Negotiated/Negotiated Formula Sows,1626.0,29.0,52.0,39.84,424.0,8028.0,495,2020,1
2020-12-07,2020-12-04,550/up,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,500-549,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,400-449,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,450-499,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,200/up,Boars,645.0,,,,339.0,645.0,495,2020,1
2020-12-07,2020-12-04,500-549,Negotiated Sows,1753.0,39.95,54.0,48.16,522.0,8028.0,495,2020,1
2020-12-07,2020-12-04,300-399,Negotiated Formula Sows,,,,,,,495,2020,1
2020-12-07,2020-12-04,550/up,Swine/Pork Market Formula Sows,492.0,47.01,54.64,49.8,594.0,2518.0,495,2020,1
2020-12-08,2020-12-07,550/up,Swine/Pork Market Formula Sows,300.0,,,,589.0,1652.0,501,2020,2
2020-12-08,2020-12-07,200/up,Boars,612.0,,,,399.0,612.0,501,2020,2
2020-12-08,2020-12-07,400-449,Negotiated Sows,2077.0,29.0,52.25,40.99,426.0,9535.0,501,2020,2
2020-12-08,2020-12-07,300-399,Negotiated Sows,2267.0,29.0,51.25,42.63,369.0,9535.0,501,2020,2
2020-12-08,2020-12-07,550/up,Negotiated Sows,1037.0,29.0,56.85,49.49,585.0,9535.0,501,2020,2
2020-12-08,2020-12-07,300-399,Combined Negotiated/Negotiated Formula Sows,2267.0,29.0,51.25,42.63,369.0,9535.0,501,2020,2
2020-12-08,2020-12-07,500-549,Negotiated Sows,1771.0,29.0,54.5,47.66,524.0,9535.0,501,2020,2
2020-12-08,2020-12-07,450-499,Swine/Pork Market Formula Sows,417.0,43.76,49.98,46.11,475.0,1652.0,501,2020,2
2020-12-08,2020-12-07,500-549,Combined Negotiated/Negotiated Formula Sows,1771.0,29.0,54.5,47.66,524.0,9535.0,501,2020,2
2020-12-08,2020-12-07,400-449,Swine/Pork Market Formula Sows,244.0,39.42,47.24,42.65,426.0,1652.0,501,2020,2
2020-12-08,2020-12-07,450-499,Negotiated Sows,2383.0,29.0,53.25,46.3,474.0,9535.0,501,2020,2
2020-12-08,2020-12-07,400-449,Combined Negotiated/Negotiated Formula Sows,2077.0,29.0,52.25,40.99,426.0,9535.0,501,2020,2
2020-12-08,2020-12-07,500-549,Swine/Pork Market Formula Sows,462.0,46.86,51.92,48.5,525.0,1652.0,501,2020,2
2020-12-08,2020-12-07,300-399,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,400-449,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,550/up,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,300-399,Swine/Pork Market Formula Sows,229.0,30.98,44.86,40.85,375.0,1652.0,501,2020,2
2020-12-08,2020-12-07,500-549,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-08,2020-12-07,450-499,Combined Negotiated/Negotiated Formula Sows,2383.0,29.0,53.25,46.3,474.0,9535.0,501,2020,2
2020-12-08,2020-12-07,550/up,Combined Negotiated/Negotiated Formula Sows,1037.0,29.0,56.85,49.49,585.0,9535.0,501,2020,2
2020-12-08,2020-12-07,450-499,Negotiated Formula Sows,,,,,,,501,2020,2
2020-12-09,2020-12-08,400-449,Negotiated Sows,1782.0,29.0,51.25,40.9,426.0,8046.0,502,2020,3
2020-12-09,2020-12-08,400-449,Swine/Pork Market Formula Sows,348.0,29.25,41.36,38.74,429.0,1719.0,502,2020,3
2020-12-09,2020-12-08,300-399,Negotiated Sows,1348.0,29.0,48.5,39.51,375.0,8046.0,502,2020,3
2020-12-09,2020-12-08,450-499,Negotiated Sows,2285.0,34.0,52.5,45.96,475.0,8046.0,502,2020,3
2020-12-09,2020-12-08,200/up,Boars,405.0,5.0,26.5,24.63,433.0,405.0,502,2020,3
2020-12-09,2020-12-08,550/up,Negotiated Sows,995.0,43.0,56.85,49.09,583.0,8046.0,502,2020,3
2020-12-09,2020-12-08,550/up,Swine/Pork Market Formula Sows,419.0,47.88,51.19,49.38,592.0,1719.0,502,2020,3
2020-12-09,2020-12-08,300-399,Swine/Pork Market Formula Sows,210.0,34.25,41.36,39.21,374.0,1719.0,502,2020,3
2020-12-09,2020-12-08,500-549,Swine/Pork Market Formula Sows,420.0,46.11,50.16,48.3,523.0,1719.0,502,2020,3
2020-12-09,2020-12-08,550/up,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,550/up,Combined Negotiated/Negotiated Formula Sows,995.0,43.0,56.85,49.09,583.0,8046.0,502,2020,3
2020-12-09,2020-12-08,500-549,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,400-449,Combined Negotiated/Negotiated Formula Sows,1782.0,29.0,51.25,40.9,426.0,8046.0,502,2020,3
2020-12-09,2020-12-08,300-399,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,500-549,Negotiated Sows,1636.0,36.32,54.5,47.25,525.0,8046.0,502,2020,3
2020-12-09,2020-12-08,450-499,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,400-449,Negotiated Formula Sows,,,,,,,502,2020,3
2020-12-09,2020-12-08,500-549,Combined Negotiated/Negotiated Formula Sows,1636.0,36.32,54.5,47.25,525.0,8046.0,502,2020,3
2020-12-09,2020-12-08,450-499,Swine/Pork Market Formula Sows,322.0,39.25,46.98,44.41,475.0,1719.0,502,2020,3
2020-12-09,2020-12-08,450-499,Combined Negotiated/Negotiated Formula Sows,2285.0,34.0,52.5,45.96,475.0,8046.0,502,2020,3
2020-12-09,2020-12-08,300-399,Combined Negotiated/Negotiated Formula Sows,1348.0,29.0,48.5,39.51,375.0,8046.0,502,2020,3
2020-12-10,2020-12-09,300-399,Combined Negotiated/Negotiated Formula Sows,1155.0,27.0,50.0,39.99,369.0,6987.0,503,2020,4
2020-12-10,2020-12-09,550/up,Combined Negotiated/Negotiated Formula Sows,937.0,42.75,53.5,48.02,588.0,6987.0,503,2020,4
2020-12-10,2020-12-09,500-549,Negotiated Sows,1547.0,36.01,53.5,45.82,523.0,6987.0,503,2020,4
2020-12-10,2020-12-09,450-499,Swine/Pork Market Formula Sows,296.0,40.81,48.72,46.14,476.0,1714.0,503,2020,4
2020-12-10,2020-12-09,400-449,Swine/Pork Market Formula Sows,386.0,38.81,42.99,40.48,427.0,1714.0,503,2020,4
2020-12-10,2020-12-09,200/up,Boars,771.0,2.0,26.5,25.66,374.0,771.0,503,2020,4
2020-12-10,2020-12-09,500-549,Negotiated Formula Sows,,,,,,,503,2020,4
2020-12-10,2020-12-09,400-449,Negotiated Formula Sows,,,,,,,503,2020,4
2020-12-10,2020-12-09,450-499,Combined Negotiated/Negotiated Formula Sows,1537.0,28.0,51.75,43.64,473.0,6987.0,503,2020,4
2020-12-10,2020-12-09,300-399,Negotiated Formula Sows,,,,,,,503,2020,4
2020-12-10,2020-12-09,550/up,Negotiated Formula Sows,,,,,,,503,2020,4
2020-12-10,2020-12-09,450-499,Negotiated Formula Sows,,,,,,,503,2020,4
2020-12-10,2020-12-09,550/up,Swine/Pork Market Formula Sows,339.0,,,,589.0,1714.0,503,2020,4
2020-12-10,2020-12-09,500-549,Combined Negotiated/Negotiated Formula Sows,1547.0,36.01,53.5,45.82,523.0,6987.0,503,2020,4
2020-12-10,2020-12-09,300-399,Negotiated Sows,1155.0,27.0,50.0,39.99,369.0,6987.0,503,2020,4
2020-12-10,2020-12-09,450-499,Negotiated Sows,1537.0,28.0,51.75,43.64,473.0,6987.0,503,2020,4
2020-12-10,2020-12-09,550/up,Negotiated Sows,937.0,42.75,53.5,48.02,588.0,6987.0,503,2020,4
2020-12-10,2020-12-09,500-549,Swine/Pork Market Formula Sows,584.0,42.5,49.66,47.8,524.0,1714.0,503,2020,4
2020-12-10,2020-12-09,400-449,Negotiated Sows,1811.0,27.0,50.75,39.23,426.0,6987.0,503,2020,4
2020-12-10,2020-12-09,300-399,Swine/Pork Market Formula Sows,109.0,35.81,42.63,41.37,365.0,1714.0,503,2020,4
2020-12-10,2020-12-09,400-449,Combined Negotiated/Negotiated Formula Sows,1811.0,27.0,50.75,39.23,426.0,6987.0,503,2020,4
2020-12-11,2020-12-10,450-499,Swine/Pork Market Formula Sows,388.0,39.2,47.96,45.06,474.0,1993.0,504,2020,5
2020-12-11,2020-12-10,400-449,Combined Negotiated/Negotiated Formula Sows,1442.0,27.0,52.0,39.19,424.0,7110.0,504,2020,5
2020-12-11,2020-12-10,550/up,Swine/Pork Market Formula Sows,326.0,47.15,51.09,49.16,591.0,1993.0,504,2020,5
2020-12-11,2020-12-10,550/up,Combined Negotiated/Negotiated Formula Sows,1017.0,41.25,53.0,47.78,583.0,7110.0,504,2020,5
2020-12-11,2020-12-10,200/up,Boars,540.0,,,,340.0,540.0,504,2020,5
2020-12-11,2020-12-10,400-449,Negotiated Sows,1442.0,27.0,52.0,39.19,424.0,7110.0,504,2020,5
2020-12-11,2020-12-10,450-499,Negotiated Sows,1754.0,32.0,51.75,43.98,476.0,7110.0,504,2020,5
2020-12-11,2020-12-10,300-399,Negotiated Sows,1641.0,27.0,51.0,40.06,371.0,7110.0,504,2020,5
2020-12-11,2020-12-10,450-499,Combined Negotiated/Negotiated Formula Sows,1754.0,32.0,51.75,43.98,476.0,7110.0,504,2020,5
2020-12-11,2020-12-10,550/up,Negotiated Sows,1017.0,41.25,53.0,47.78,583.0,7110.0,504,2020,5
2020-12-11,2020-12-10,300-399,Swine/Pork Market Formula Sows,402.0,29.2,42.63,39.02,359.0,1993.0,504,2020,5
2020-12-11,2020-12-10,400-449,Swine/Pork Market Formula Sows,390.0,34.2,41.9,39.5,425.0,1993.0,504,2020,5
2020-12-11,2020-12-10,500-549,Swine/Pork Market Formula Sows,487.0,44.99,50.65,47.66,522.0,1993.0,504,2020,5
2020-12-11,2020-12-10,500-549,Combined Negotiated/Negotiated Formula Sows,1256.0,33.0,53.0,45.44,523.0,7110.0,504,2020,5
2020-12-11,2020-12-10,500-549,Negotiated Formula Sows,,,,,,,504,2020,5
2020-12-11,2020-12-10,450-499,Negotiated Formula Sows,,,,,,,504,2020,5
2020-12-11,2020-12-10,400-449,Negotiated Formula Sows,,,,,,,504,2020,5
2020-12-11,2020-12-10,300-399,Combined Negotiated/Negotiated Formula Sows,1641.0,27.0,51.0,40.06,371.0,7110.0,504,2020,5
2020-12-11,2020-12-10,300-399,Negotiated Formula Sows,,,,,,,504,2020,5
2020-12-11,2020-12-10,550/up,Negotiated Formula Sows,,,,,,,504,2020,5
2020-12-11,2020-12-10,500-549,Negotiated Sows,1256.0,33.0,53.0,45.44,523.0,7110.0,504,2020,5
2020-12-14,2020-12-11,500-549,Negotiated Formula Sows,,,,,,,505,2020,6
2020-12-14,2020-12-11,550/up,Negotiated Sows,1073.0,40.23,52.5,46.15,584.0,7274.0,505,2020,6
2020-12-14,2020-12-11,550/up,Combined Negotiated/Negotiated Formula Sows,1073.0,40.23,52.5,46.15,584.0,7274.0,505,2020,6
2020-12-14,2020-12-11,450-499,Swine/Pork Market Formula Sows,414.0,41.3,46.66,44.12,476.0,2066.0,505,2020,6
2020-12-14,2020-12-11,450-499,Negotiated Sows,1703.0,32.0,50.5,42.62,473.0,7274.0,505,2020,6
2020-12-14,2020-12-11,500-549,Swine/Pork Market Formula Sows,528.0,43.94,47.95,46.28,524.0,2066.0,505,2020,6
2020-12-14,2020-12-11,300-399,Negotiated Sows,1218.0,27.0,49.75,38.28,373.0,7274.0,505,2020,6
2020-12-14,2020-12-11,300-399,Swine/Pork Market Formula Sows,314.0,34.06,41.49,40.02,365.0,2066.0,505,2020,6
2020-12-14,2020-12-11,400-449,Negotiated Sows,1504.0,27.0,49.75,37.12,424.0,7274.0,505,2020,6
2020-12-14,2020-12-11,500-549,Combined Negotiated/Negotiated Formula Sows,1776.0,34.04,52.5,46.09,524.0,7274.0,505,2020,6
2020-12-14,2020-12-11,500-549,Negotiated Sows,1776.0,34.04,52.5,46.09,524.0,7274.0,505,2020,6
2020-12-14,2020-12-11,450-499,Negotiated Formula Sows,,,,,,,505,2020,6
2020-12-14,2020-12-11,200/up,Boars,276.0,,,,313.0,276.0,505,2020,6
2020-12-14,2020-12-11,400-449,Swine/Pork Market Formula Sows,273.0,37.2,41.6,39.42,428.0,2066.0,505,2020,6
2020-12-14,2020-12-11,300-399,Negotiated Formula Sows,,,,,,,505,2020,6
2020-12-14,2020-12-11,550/up,Negotiated Formula Sows,,,,,,,505,2020,6
2020-12-14,2020-12-11,450-499,Combined Negotiated/Negotiated Formula Sows,1703.0,32.0,50.5,42.62,473.0,7274.0,505,2020,6
2020-12-14,2020-12-11,550/up,Swine/Pork Market Formula Sows,537.0,46.21,49.86,48.21,587.0,2066.0,505,2020,6
2020-12-14,2020-12-11,400-449,Negotiated Formula Sows,,,,,,,505,2020,6
2020-12-14,2020-12-11,400-449,Combined Negotiated/Negotiated Formula Sows,1504.0,27.0,49.75,37.12,424.0,7274.0,505,2020,6
2020-12-14,2020-12-11,300-399,Combined Negotiated/Negotiated Formula Sows,1218.0,27.0,49.75,38.28,373.0,7274.0,505,2020,6
2020-12-15,2020-12-14,300-399,Negotiated Sows,1323.0,27.0,50.0,40.41,372.0,8865.0,511,2020,7
2020-12-15,2020-12-14,450-499,Negotiated Formula Sows,,,,,,,511,2020,7
2020-12-15,2020-12-14,450-499,Negotiated Sows,1933.0,33.0,50.5,42.51,475.0,8865.0,511,2020,7
2020-12-15,2020-12-14,550/up,Combined Negotiated/Negotiated Formula Sows,1327.0,41.75,53.07,47.31,588.0,8865.0,511,2020,7
2020-12-15,2020-12-14,500-549,Combined Negotiated/Negotiated Formula Sows,2393.0,32.0,52.5,45.49,523.0,8865.0,511,2020,7
2020-12-15,2020-12-14,500-549,Negotiated Formula Sows,,,,,,,511,2020,7
2020-12-15,2020-12-14,550/up,Negotiated Sows,1327.0,41.75,53.07,47.31,588.0,8865.0,511,2020,7
2020-12-15,2020-12-14,500-549,Swine/Pork Market Formula Sows,583.0,43.74,48.25,45.83,523.0,1713.0,511,2020,7
2020-12-15,2020-12-14,550/up,Swine/Pork Market Formula Sows,318.0,45.42,49.78,47.68,594.0,1713.0,511,2020,7
2020-12-15,2020-12-14,400-449,Negotiated Sows,1889.0,21.25,50.0,37.67,425.0,8865.0,511,2020,7
2020-12-15,2020-12-14,400-449,Negotiated Formula Sows,,,,,,,511,2020,7
2020-12-15,2020-12-14,550/up,Negotiated Formula Sows,,,,,,,511,2020,7
2020-12-15,2020-12-14,300-399,Swine/Pork Market Formula Sows,370.0,28.62,43.06,39.81,369.0,1713.0,511,2020,7
2020-12-15,2020-12-14,300-399,Negotiated Formula Sows,,,,,,,511,2020,7
2020-12-15,2020-12-14,400-449,Combined Negotiated/Negotiated Formula Sows,1889.0,21.25,50.0,37.67,425.0,8865.0,511,2020,7
2020-12-15,2020-12-14,400-449,Swine/Pork Market Formula Sows,147.0,,,,427.0,1713.0,511,2020,7
2020-12-15,2020-12-14,450-499,Combined Negotiated/Negotiated Formula Sows,1933.0,33.0,50.5,42.51,475.0,8865.0,511,2020,7
2020-12-15,2020-12-14,450-499,Swine/Pork Market Formula Sows,295.0,40.67,46.98,43.98,475.0,1713.0,511,2020,7
2020-12-15,2020-12-14,300-399,Combined Negotiated/Negotiated Formula Sows,1323.0,27.0,50.0,40.41,372.0,8865.0,511,2020,7
2020-12-15,2020-12-14,500-549,Negotiated Sows,2393.0,32.0,52.5,45.49,523.0,8865.0,511,2020,7
2020-12-15,2020-12-14,200/up,Boars,890.0,,,,336.0,890.0,511,2020,7
2020-12-16,2020-12-15,450-499,Negotiated Formula Sows,,,,,,,512,2020,8
2020-12-16,2020-12-15,500-549,Negotiated Formula Sows,,,,,,,512,2020,8
2020-12-16,2020-12-15,550/up,Negotiated Formula Sows,,,,,,,512,2020,8
2020-12-16,2020-12-15,200/up,Boars,686.0,,,,347.0,686.0,512,2020,8
2020-12-16,2020-12-15,500-549,Swine/Pork Market Formula Sows,585.0,44.74,48.09,46.66,522.0,1953.0,512,2020,8
2020-12-16,2020-12-15,500-549,Negotiated Sows,1623.0,33.0,52.5,45.3,525.0,6694.0,512,2020,8
2020-12-16,2020-12-15,450-499,Swine/Pork Market Formula Sows,298.0,36.7,45.36,42.97,475.0,1953.0,512,2020,8
2020-12-16,2020-12-15,300-399,Combined Negotiated/Negotiated Formula Sows,1268.0,27.0,48.0,37.8,369.0,6694.0,512,2020,8
2020-12-16,2020-12-15,400-449,Negotiated Sows,1776.0,31.67,49.0,38.87,424.0,6694.0,512,2020,8
2020-12-16,2020-12-15,300-399,Swine/Pork Market Formula Sows,246.0,26.7,41.02,35.85,373.0,1953.0,512,2020,8
2020-12-16,2020-12-15,400-449,Negotiated Formula Sows,,,,,,,512,2020,8
2020-12-16,2020-12-15,400-449,Swine/Pork Market Formula Sows,482.0,34.7,44.62,37.19,427.0,1953.0,512,2020,8
2020-12-16,2020-12-15,450-499,Combined Negotiated/Negotiated Formula Sows,1361.0,32.0,50.5,42.72,473.0,6694.0,512,2020,8
2020-12-16,2020-12-15,550/up,Swine/Pork Market Formula Sows,342.0,44.9,48.64,47.16,592.0,1953.0,512,2020,8
2020-12-16,2020-12-15,500-549,Combined Negotiated/Negotiated Formula Sows,1623.0,33.0,52.5,45.3,525.0,6694.0,512,2020,8
2020-12-16,2020-12-15,550/up,Negotiated Sows,666.0,42.0,50.0,45.12,583.0,6694.0,512,2020,8
2020-12-16,2020-12-15,400-449,Combined Negotiated/Negotiated Formula Sows,1776.0,31.67,49.0,38.87,424.0,6694.0,512,2020,8
2020-12-16,2020-12-15,450-499,Negotiated Sows,1361.0,32.0,50.5,42.72,473.0,6694.0,512,2020,8
2020-12-16,2020-12-15,550/up,Combined Negotiated/Negotiated Formula Sows,666.0,42.0,50.0,45.12,583.0,6694.0,512,2020,8
2020-12-16,2020-12-15,300-399,Negotiated Sows,1268.0,27.0,48.0,37.8,369.0,6694.0,512,2020,8
2020-12-16,2020-12-15,300-399,Negotiated Formula Sows,,,,,,,512,2020,8
2020-12-17,2020-12-16,500-549,Negotiated Sows,1758.0,35.81,51.5,44.17,523.0,7200.0,513,2020,9
2020-12-17,2020-12-16,400-449,Negotiated Formula Sows,,,,,,,513,2020,9
2020-12-17,2020-12-16,550/up,Negotiated Sows,681.0,35.81,51.5,43.74,585.0,7200.0,513,2020,9
2020-12-17,2020-12-16,300-399,Combined Negotiated/Negotiated Formula Sows,1400.0,26.0,47.5,36.43,369.0,7200.0,513,2020,9
2020-12-17,2020-12-16,450-499,Negotiated Formula Sows,,,,,,,513,2020,9
2020-12-17,2020-12-16,500-549,Combined Negotiated/Negotiated Formula Sows,1758.0,35.81,51.5,44.17,523.0,7200.0,513,2020,9
2020-12-17,2020-12-16,500-549,Negotiated Formula Sows,,,,,,,513,2020,9
2020-12-17,2020-12-16,450-499,Combined Negotiated/Negotiated Formula Sows,1847.0,26.0,49.5,41.72,473.0,7200.0,513,2020,9
2020-12-17,2020-12-16,300-399,Negotiated Formula Sows,,,,,,,513,2020,9
2020-12-17,2020-12-16,500-549,Swine/Pork Market Formula Sows,531.0,43.36,47.49,46.18,523.0,2029.0,513,2020,9
2020-12-17,2020-12-16,550/up,Negotiated Formula Sows,,,,,,,513,2020,9
2020-12-17,2020-12-16,200/up,Boars,709.0,,,,373.0,709.0,513,2020,9
2020-12-17,2020-12-16,550/up,Swine/Pork Market Formula Sows,384.0,45.05,49.31,47.25,585.0,2029.0,513,2020,9
2020-12-17,2020-12-16,450-499,Swine/Pork Market Formula Sows,417.0,38.04,44.56,42.37,473.0,2029.0,513,2020,9
2020-12-17,2020-12-16,400-449,Negotiated Sows,1514.0,26.0,48.5,37.09,425.0,7200.0,513,2020,9
2020-12-17,2020-12-16,300-399,Negotiated Sows,1400.0,26.0,47.5,36.43,369.0,7200.0,513,2020,9
2020-12-17,2020-12-16,300-399,Swine/Pork Market Formula Sows,298.0,31.95,41.91,39.1,365.0,2029.0,513,2020,9
2020-12-17,2020-12-16,450-499,Negotiated Sows,1847.0,26.0,49.5,41.72,473.0,7200.0,513,2020,9
2020-12-17,2020-12-16,400-449,Combined Negotiated/Negotiated Formula Sows,1514.0,26.0,48.5,37.09,425.0,7200.0,513,2020,9
2020-12-17,2020-12-16,400-449,Swine/Pork Market Formula Sows,399.0,35.71,39.17,37.6,426.0,2029.0,513,2020,9
2020-12-17,2020-12-16,550/up,Combined Negotiated/Negotiated Formula Sows,681.0,35.81,51.5,43.74,585.0,7200.0,513,2020,9
2020-12-18,2020-12-17,500-549,Combined Negotiated/Negotiated Formula Sows,1911.0,32.0,51.0,44.01,524.0,6857.0,514,2020,10
2020-12-18,2020-12-17,500-549,Negotiated Formula Sows,,,,,,,514,2020,10
2020-12-18,2020-12-17,450-499,Negotiated Formula Sows,,,,,,,514,2020,10
2020-12-18,2020-12-17,300-399,Combined Negotiated/Negotiated Formula Sows,1352.0,26.0,48.25,36.96,373.0,6857.0,514,2020,10
2020-12-18,2020-12-17,400-449,Negotiated Formula Sows,,,,,,,514,2020,10
2020-12-18,2020-12-17,300-399,Negotiated Formula Sows,,,,,,,514,2020,10
2020-12-18,2020-12-17,450-499,Combined Negotiated/Negotiated Formula Sows,1525.0,31.0,50.25,39.7,474.0,6857.0,514,2020,10
2020-12-18,2020-12-17,550/up,Negotiated Formula Sows,,,,,,,514,2020,10
2020-12-18,2020-12-17,300-399,Swine/Pork Market Formula Sows,282.0,31.73,38.8,38.02,364.0,1950.0,514,2020,10
2020-12-18,2020-12-17,400-449,Swine/Pork Market Formula Sows,359.0,36.21,42.51,38.31,426.0,1950.0,514,2020,10
2020-12-18,2020-12-17,300-399,Negotiated Sows,1352.0,26.0,48.25,36.96,373.0,6857.0,514,2020,10
2020-12-18,2020-12-17,450-499,Swine/Pork Market Formula Sows,444.0,37.33,44.98,41.69,473.0,1950.0,514,2020,10
2020-12-18,2020-12-17,550/up,Combined Negotiated/Negotiated Formula Sows,905.0,39.5,51.67,45.51,591.0,6857.0,514,2020,10
2020-12-18,2020-12-17,500-549,Swine/Pork Market Formula Sows,563.0,42.55,46.8,45.05,523.0,1950.0,514,2020,10
2020-12-18,2020-12-17,400-449,Combined Negotiated/Negotiated Formula Sows,1164.0,31.0,49.25,37.51,426.0,6857.0,514,2020,10
2020-12-18,2020-12-17,200/up,Boars,732.0,,,,381.0,732.0,514,2020,10
2020-12-18,2020-12-17,500-549,Negotiated Sows,1911.0,32.0,51.0,44.01,524.0,6857.0,514,2020,10
2020-12-18,2020-12-17,550/up,Negotiated Sows,905.0,39.5,51.67,45.51,591.0,6857.0,514,2020,10
2020-12-18,2020-12-17,450-499,Negotiated Sows,1525.0,31.0,50.25,39.7,474.0,6857.0,514,2020,10
2020-12-18,2020-12-17,400-449,Negotiated Sows,1164.0,31.0,49.25,37.51,426.0,6857.0,514,2020,10
2020-12-18,2020-12-17,550/up,Swine/Pork Market Formula Sows,302.0,42.24,47.31,45.09,588.0,1950.0,514,2020,10
2020-12-21,2020-12-18,500-549,Negotiated Formula Sows,,,,,,,515,2020,11
2020-12-21,2020-12-18,550/up,Combined Negotiated/Negotiated Formula Sows,877.0,39.0,50.0,44.22,585.0,7682.0,515,2020,11
2020-12-21,2020-12-18,450-499,Negotiated Formula Sows,,,,,,,515,2020,11
2020-12-21,2020-12-18,400-449,Negotiated Formula Sows,,,,,,,515,2020,11
2020-12-21,2020-12-18,300-399,Negotiated Formula Sows,,,,,,,515,2020,11
2020-12-21,2020-12-18,550/up,Negotiated Formula Sows,,,,,,,515,2020,11
2020-12-21,2020-12-18,300-399,Negotiated Sows,1412.0,25.0,47.75,36.24,375.0,7682.0,515,2020,11
2020-12-21,2020-12-18,400-449,Combined Negotiated/Negotiated Formula Sows,1743.0,30.0,48.75,35.31,424.0,7682.0,515,2020,11
2020-12-21,2020-12-18,300-399,Swine/Pork Market Formula Sows,278.0,,,,359.0,2586.0,515,2020,11
2020-12-21,2020-12-18,300-399,Combined Negotiated/Negotiated Formula Sows,1412.0,25.0,47.75,36.24,375.0,7682.0,515,2020,11
2020-12-21,2020-12-18,450-499,Negotiated Sows,1664.0,25.0,49.75,39.18,473.0,7682.0,515,2020,11
2020-12-21,2020-12-18,500-549,Swine/Pork Market Formula Sows,913.0,41.21,46.17,44.49,523.0,2586.0,515,2020,11
2020-12-21,2020-12-18,500-549,Negotiated Sows,1986.0,37.5,48.91,43.14,523.0,7682.0,515,2020,11
2020-12-21,2020-12-18,500-549,Combined Negotiated/Negotiated Formula Sows,1986.0,37.5,48.91,43.14,523.0,7682.0,515,2020,11
2020-12-21,2020-12-18,450-499,Swine/Pork Market Formula Sows,470.0,37.17,43.81,41.44,474.0,2586.0,515,2020,11
2020-12-21,2020-12-18,400-449,Swine/Pork Market Formula Sows,425.0,33.76,43.72,37.54,427.0,2586.0,515,2020,11
2020-12-21,2020-12-18,550/up,Negotiated Sows,877.0,39.0,50.0,44.22,585.0,7682.0,515,2020,11
2020-12-21,2020-12-18,550/up,Swine/Pork Market Formula Sows,500.0,42.61,46.2,44.75,591.0,2586.0,515,2020,11
2020-12-21,2020-12-18,400-449,Negotiated Sows,1743.0,30.0,48.75,35.31,424.0,7682.0,515,2020,11
2020-12-21,2020-12-18,450-499,Combined Negotiated/Negotiated Formula Sows,1664.0,25.0,49.75,39.18,473.0,7682.0,515,2020,11
2020-12-21,2020-12-18,200/up,Boars,711.0,,,,316.0,711.0,515,2020,11
2020-12-22,2020-12-21,300-399,Swine/Pork Market Formula Sows,284.0,30.2,40.7,36.76,374.0,1844.0,521,2020,12
2020-12-22,2020-12-21,500-549,Combined Negotiated/Negotiated Formula Sows,1500.0,39.17,50.0,44.65,525.0,7528.0,521,2020,12
2020-12-22,2020-12-21,400-449,Negotiated Sows,1179.0,25.0,48.75,36.89,426.0,7528.0,521,2020,12
